_c0,_c1,Name,Username,User Profile,Tweet ID,Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,Tweet Source,Status URL,SCORE,clean_text,correctec_text,processed_text
1,,CNN en Español,CNNEE,https://www.twitter.com/CNNEE,ID: 1719064401330966689,84,117,389,,2023-10-30 18:51:06,"""Netanyahu: """"Israel no aceptará un cese de hostilidades con Hamas. Este es un momento para la guerra"""".Más información: https://t.co/HTgQZLSAEs https://t.co/VafBiRmO4d""",,https://www.twitter.com/CNNEE/status/1719064401330966689,Neutral,netanyahu israel no aceptará un cese de hostilidades con hamas este es un momento para la guerramás información  ,Netanyahu Israel no aceptará un cese de hostilidades con Hamás este es un momento para la guerra más información ,Netanyahu  Israel no aceptará un cese de hostilidades con Hamas  Este es un momento para la guerra  Más información
2,,^Malo del Alma^ EN CONTRA🇨🇱🌈🪴 😎,jazzun,https://www.twitter.com/jazzun,ID: 1719064401330966689,0,0,2,,2023-10-30 18:52:11,@CNNEE Fácil decirlo tras las polleras de EEUU,,https://www.twitter.com/jazzun/status/1719064401330966689,Positivo, fácil decirlo tras las polleras de eeuu, Fácil decirlo tras las polleras de EEUU,Fácil decirlo tras las polleras de EEUU
3,,Carolina ♡,Carolin72908345,https://www.twitter.com/Carolin72908345,ID: 1719064401330966689,0,0,0,,2023-10-30 18:53:23,@CNNEE 🫣,,https://www.twitter.com/Carolin72908345/status/1719064401330966689,Neutral, , ,
4,,Israel Ramos,IsraPanter,https://www.twitter.com/IsraPanter,ID: 1719064401330966689,2,2,7,,2023-10-30 18:53:31,@CNNEE https://t.co/ph5DRKsGuY,,https://www.twitter.com/IsraPanter/status/1719064401330966689,Negativo, , ,
5,,Alexis Segovia,AlexisS78626235,https://www.twitter.com/AlexisS78626235,ID: 1719064401330966689,0,0,0,,2023-10-30 18:54:55,@CNNEE Así es,,https://www.twitter.com/AlexisS78626235/status/1719064401330966689,Neutral, así es, Así es,Así es
6,,Víctor Iglesias González 🇪🇸🇮🇱,VictorIG80,https://www.twitter.com/VictorIG80,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:05,"@CNNEE Las Legiones de Demonios junto a los Siervos de Satanas en el mundo han buscado, de manera concertada y prediseñada, provocar la Guerra de Hamas e Israel. Por dos razones principalmente:1°- Porque no han podido impactar suficiente en la humanidad con Ucrania y Escalar la… https://t.co/c8KqxiH586",,https://www.twitter.com/VictorIG80/status/1719064401330966689,Neutral, las legiones de demonios junto a los siervos de satanas en el mundo han buscado de manera concertada y prediseñada provocar la guerra de hamas e israel por dos razones principalmente1 porque no han podido impactar suficiente en la humanidad con ucrania y escalar la , Las legiones de demonios junto a los siervos de satanás en el mundo han buscado de manera concertada y prediseñada provocar la guerra de Hamás e Israel por dos razones principalmente 1 porque no han podido impactar suficiente en la humanidad con ucrania y escalar la ,Las Legiones de Demonios junto a los Siervos de Satanas en el mundo han buscado  de manera concertada y prediseñada  provocar la Guerra de Hamas e Israel  Por dos razones principalmente 1  Porque no han podido impactar suficiente en la humanidad con Ucrania y Escalar la
7,,monica VIP* Anti Ka.,TullioMonica,https://www.twitter.com/TullioMonica,ID: 1719064401330966689,0,0,0,,2023-10-30 18:55:14,@CNNEE Desgraciado,,https://www.twitter.com/TullioMonica/status/1719064401330966689,Negativo, desgraciado, Desgraciado,Desgraciado
8,,Ula Barison. Miliciana.,UlaBarison5,https://www.twitter.com/UlaBarison5,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:19,@CNNEE Genocida delirante asqueroso asesino de niños. Comerás juicio sionista enfermo.,,https://www.twitter.com/UlaBarison5/status/1719064401330966689,Negativo, genocida delirante asqueroso asesino de niños comerás juicio sionista enfermo, Genocida delirante asqueroso asesino de niños comerás juicio sionista enfermo,Genocida delirante asqueroso asesino de niños  Comerás juicio sionista enfermo
9,,La Carnala Mayor,La_Carnala,https://www.twitter.com/La_Carnala,ID: 1719064401330966689,0,0,1,,2023-10-30 18:55:23,@CNNEE #IsraelGenocida,,https://www.twitter.com/La_Carnala/status/1719064401330966689,Negativo, israelgenocida, israelgenocida,hashtag israel genocida
10,,Manuel Martìnez,mmartinez975,https://www.twitter.com/mmartinez975,ID: 1719064401330966689,0,3,6,,2023-10-30 18:55:58,@CNNEE Hamas va a ser barrida,,https://www.twitter.com/mmartinez975/status/1719064401330966689,Positivo, hamas va a ser barrida, Hamás va a ser barrida,Hamas va a ser barrida
11,,José Ramírez 💥,11denoviembre10,https://www.twitter.com/11denoviembre10,ID: 1719064401330966689,0,0,1,,2023-10-30 18:58:01,@CNNEE El demonio Benjamin está enardecido desde el corazón......no más destrucción y muertes,,https://www.twitter.com/11denoviembre10/status/1719064401330966689,Negativo, el demonio benjamin está enardecido desde el corazónno más destrucción y muertes, El demonio benjamín está enardecido desde el corazón no más destrucción y muertes,El demonio Benjamin está enardecido desde el corazón  no más destrucción y muertes
12,,Ailee,spobletem,https://www.twitter.com/spobletem,ID: 1719064401330966689,0,0,1,,2023-10-30 18:58:44,@CNNEE DEMENTEhttps://t.co/48OptBBrgv,,https://www.twitter.com/spobletem/status/1719064401330966689,Negativo, demente, Demente,DEMENTE
13,,Joel➐,marcusxabier,https://www.twitter.com/marcusxabier,ID: 1719064401330966689,0,0,1,,2023-10-30 19:01:37,@CNNEE Netanyahu genocida 💀💀💀 https://t.co/IdRbc80yPT,,https://www.twitter.com/marcusxabier/status/1719064401330966689,Negativo, netanyahu genocida  , Netanyahu genocida ,Netanyahu genocida
14,,🇧🇷Mauro Santos🏁🇺🇦🇮🇱,MauroVS,https://www.twitter.com/MauroVS,ID: 1719064401330966689,0,0,1,,2023-10-30 19:02:14,@CNNEE Mui bien,,https://www.twitter.com/MauroVS/status/1719064401330966689,Positivo, mui bien, muy bien,Mui bien
15,,jhon 💙,santoyo832,https://www.twitter.com/santoyo832,ID: 1719064401330966689,0,0,0,,2023-10-30 19:02:24,"@CNNEE Hasta desparecer a hamas, 💪💪",,https://www.twitter.com/santoyo832/status/1719064401330966689,Negativo, hasta desparecer a hamas , Hasta desaparecer a Hamás ,Hasta desparecer a hamas
16,,Gustavo Moreno,Gustavo07280702,https://www.twitter.com/Gustavo07280702,ID: 1719064401330966689,0,0,4,,2023-10-30 19:03:33,@CNNEE CRIMINAL ABERRANTE,,https://www.twitter.com/Gustavo07280702/status/1719064401330966689,Negativo, criminal aberrante, Criminal aberrante,CRIMINAL ABERRANTE
17,,PimentelS,SdidiPim25,https://www.twitter.com/SdidiPim25,ID: 1719064401330966689,0,0,1,,2023-10-30 19:04:03,@CNNEE El es un genocida y cerdo,,https://www.twitter.com/SdidiPim25/status/1719064401330966689,Negativo, el es un genocida y cerdo, él es un genocida y cerdo,El es un genocida y cerdo
